TweetID,Username,Date,Retweets,Favorites,Text,Mentions,Permalink
824831906923507714,Alexxxtru,2017-01-26 23:10,0,1,Pretty sure someone stole my Nike leggings. I feel like I'm in middle school again,,https://twitter.com/Alexxxtru/status/824831906923507714
824826301261443073,UNDSed,2017-01-26 22:48,0,0,#wdywt #ballshoes #nike #duke #kyrie #kyrie3 #blackice i feel like i havent been a good https://www. instagram.com/p/BPwNb7jFNb0/,,https://twitter.com/UNDSed/status/824826301261443073
824790060516020224,TucHood,2017-01-26 20:24,0,0,325 lbs. went up easy in my new @nike lifting shoes. They feel great! - - - @kodacrossfit https://www. instagram.com/p/BPv89TNhS5Z/,@nike @kodacrossfit,https://twitter.com/TucHood/status/824790060516020224
824781837213978624,Ad8AndFriends,2017-01-26 19:51,0,0,i honeslty feel the same way of nike lmao,,https://twitter.com/Ad8AndFriends/status/824781837213978624
824773792551428097,CatalystMartyr,2017-01-26 19:19,0,0,"God I feel like recording a song, might just do it like #nike",,https://twitter.com/CatalystMartyr/status/824773792551428097
824759648322482177,kirbsterr__,2017-01-26 18:23,0,1,I feel my adidas slides way more than my Nike,,https://twitter.com/kirbsterr__/status/824759648322482177
824746713952968704,jayswagg333,2017-01-26 17:31,4,11,I feel like I betray Nike when I wear Adidas,,https://twitter.com/jayswagg333/status/824746713952968704
824742084917727236,QiuyeLi,2017-01-26 17:13,0,0,"True. But everything bought from http:// nike.com can be returned in 60 days, which makes me feel nike is not punished",,https://twitter.com/QiuyeLi/status/824742084917727236
824729604925624320,BrianGoulart,2017-01-26 16:23,0,1,Tiger signed w/Taylormade but looks like he still has his Nike blades in the bag. Takes a while to feel comfortable with new clubs #pgatour,,https://twitter.com/BrianGoulart/status/824729604925624320
824712398783254530,AustinHeff,2017-01-26 15:15,0,0,i feel like nike can do a really god job of these in 2017,,https://twitter.com/AustinHeff/status/824712398783254530
824701384830226433,NegroBendito,2017-01-26 14:31,0,1,ay no biggie we ain't robots so everyone got they own and true that true that. How you feel bout Fila is how I feel about Nike,,https://twitter.com/NegroBendito/status/824701384830226433
824686027726057472,chrissyboal,2017-01-26 13:30,0,2,actually feel like I lived @Nike this week,@Nike,https://twitter.com/chrissyboal/status/824686027726057472
824685869156208640,Spaino90,2017-01-26 13:30,0,0,I'm dead ass bro everybody was coming at me like stop being a lil baby you not sick bla blah not let's see how they feel nw,,https://twitter.com/Spaino90/status/824685869156208640
